stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\code\I2P2\CSI2P-Final-Project-Template\SourceCode\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90406] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90407] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90409] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90410] added dtor for sample_instance 0000000002ccc260, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90412] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90413] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90415] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90416] added dtor for sample_instance 0000000002ccb720, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90418] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90419] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90421] 
dtor     D               dtor.c:196  _al_register_destructor          [   1.90422] added dtor for sample_instance 0000000002ccb840, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.90424] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90425] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.90427] 
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90429] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90467] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90470]     ascent=12.0, descent=-4.0, height=15.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90472] added dtor for ttf_font 0000000002cb8ba0, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90474] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90503] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 12.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90506]     ascent=10.0, descent=-4.0, height=14.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90508] added dtor for ttf_font 0000000002cb8660, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90510] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90530] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90533]     ascent=24.0, descent=-7.0, height=30.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90534] added dtor for ttf_font 0000000002cb8930, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90536] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90558] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 24.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90561]     ascent=20.0, descent=-8.0, height=27.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90563] added dtor for ttf_font 0000000002cb8570, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90565] opening ./assets/font/Caviar_Dreams_Bold.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90583] Font ./assets/font/Caviar_Dreams_Bold.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90586]     ascent=36.0, descent=-11.0, height=46.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90588] added dtor for ttf_font 0000000002cb8a50, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90590] opening ./assets/font/courbd.ttf rb
font     D                ttf.c:943  al_load_ttf_font_stretch_f       [   1.90613] Font ./assets/font/courbd.ttf loaded with pixel size 0 x 36.
font     D                ttf.c:945  al_load_ttf_font_stretch_f       [   1.90616]     ascent=30.0, descent=-11.0, height=41.0
dtor     D               dtor.c:196  _al_register_destructor          [   1.90617] added dtor for ttf_font 0000000002cf9f40, func 00007ffa8f274c05
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90620] opening ./assets/image/love.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90639] opening ./assets/image/love.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90654] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90656] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90656] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90657] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90658] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90658] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90659] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90660] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90660] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.90661] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.90662] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.90663] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.90664] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.90714] added dtor for bitmap 0000000002cfe000, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90723] opening ./assets/image/tower/Arcane_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90732] opening ./assets/image/tower/Arcane_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90737] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90738] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90739] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90739] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90740] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90741] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90742] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90742] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90743] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.90744] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.90745] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.90746] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.90747] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.90769] added dtor for bitmap 0000000002cfe400, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90793] opening ./assets/image/tower/Archer_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90801] opening ./assets/image/tower/Archer_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90805] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90806] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90807] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90808] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90808] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90809] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90810] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90810] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90811] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.90812] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.90813] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.90813] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.90814] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.90827] added dtor for bitmap 0000000002d00cd0, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90849] opening ./assets/image/tower/Canon_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90856] opening ./assets/image/tower/Canon_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90865] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90866] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90867] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90867] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90868] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90869] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90869] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90870] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90871] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.90872] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.90872] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.90874] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.90875] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.90892] added dtor for bitmap 0000000002d035a0, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90918] opening ./assets/image/tower/Poison_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90927] opening ./assets/image/tower/Poison_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90932] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90933] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90933] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90934] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90935] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90936] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90936] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90937] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90938] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.90938] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.90939] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.90940] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.90941] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.90956] added dtor for bitmap 0000000002cfc4f0, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90981] opening ./assets/image/tower/Storm_Menu.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.90991] opening ./assets/image/tower/Storm_Menu.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90996] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90997] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90998] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90998] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.90999] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91005] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91006] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91007] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91008] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.91008] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.91009] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.91010] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.91011] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.91030] added dtor for bitmap 0000000002cfc6a0, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.91240] opening ./assets/image/StartBackground.jpg rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.91255] opening ./assets/image/StartBackground.jpg rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91267] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91268] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91269] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91270] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91271] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91271] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91272] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91273] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   1.91274] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   1.91275] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   1.91275] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   1.91277] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   1.91277] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   1.91648] added dtor for bitmap 0000000002cfc110, func 00007ffa8f151bea
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   1.95531] opening ./assets/sound/growl.wav rb
wav      I                wav.c:124  wav_open                         [   1.95561] Ignoring chunk: LIST
wav      E                wav.c:121  wav_open                         [   1.95563] Bad RIFF type.
dtor     D               dtor.c:196  _al_register_destructor          [   1.95567] added dtor for sample 0000000002cfa2d0, func 00007ffa8f281a1d
dtor     D               dtor.c:196  _al_register_destructor          [   1.95589] added dtor for sample_instance 0000000002ccc140, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   1.95591] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.95593]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   1.95593]  0.000000 0.707107
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96055] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96060] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96110] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96112] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96132] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96136] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96158] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96160] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96183] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96185] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96206] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96207] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96228] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96230] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.96300] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.96302] _al_d3d_sync_bitmap (video) ref count == 1
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   3.37471] opening ./assets/image/monster/Wolf/RIGHT_1.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   3.37493] opening ./assets/image/monster/Wolf/RIGHT_1.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37657] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37660] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37662] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37662] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37663] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37664] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37665] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37665] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37666] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   3.37667] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   3.37668] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   3.37669] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   3.37670] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   3.37701] added dtor for bitmap 0000000002cfdce0, func 00007ffa8f151bea
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37751] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37754] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37755] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37755] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37756] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37757] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37757] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37758] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.37759] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   3.37760] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   3.37760] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   3.37761] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   3.37762] Chose bitmap format 9
font     D                ttf.c:243  alloc_glyph_region               [   3.37824] Glyph 70: 15x13 (16x16)
font     D                ttf.c:287  alloc_glyph_region               [   3.37826] Locking glyph region: 0000000002d454f0 0 0 16 16
font     D                ttf.c:167  unlock_current_page              [   3.37827] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37832] Glyph 82: 15x13 (16x16)
font     D                ttf.c:287  alloc_glyph_region               [   3.37833] Locking glyph region: 0000000002d454f0 16 0 16 16
font     D                ttf.c:167  unlock_current_page              [   3.37834] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37838] Glyph 76: 14x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   3.37839] Locking glyph region: 0000000002d454f0 32 0 16 20
font     D                ttf.c:167  unlock_current_page              [   3.37840] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37845] Glyph 81: 16x13 (16x16)
font     D                ttf.c:287  alloc_glyph_region               [   3.37846] Locking glyph region: 0000000002d454f0 48 0 16 16
font     D                ttf.c:167  unlock_current_page              [   3.37847] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37853] Glyph 29: 7x13 (8x16)
font     D                ttf.c:287  alloc_glyph_region               [   3.37855] Locking glyph region: 0000000002d454f0 64 0 8 16
font     D                ttf.c:167  unlock_current_page              [   3.37858] Unlocking page: 0000000002d454f0
font     D                ttf.c:446  cache_glyph                      [   3.37860] Glyph 3 has zero size.
font     D                ttf.c:243  alloc_glyph_region               [   3.37864] Glyph 20: 14x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   3.37865] Locking glyph region: 0000000002d454f0 72 0 16 20
font     D                ttf.c:167  unlock_current_page              [   3.37870] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37877] Glyph 19: 14x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   3.37878] Locking glyph region: 0000000002d454f0 88 0 16 20
font     D                ttf.c:167  unlock_current_page              [   3.37881] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37887] Glyph 24: 14x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   3.37888] Locking glyph region: 0000000002d454f0 104 0 16 20
font     D                ttf.c:167  unlock_current_page              [   3.37891] Unlocking page: 0000000002d454f0
font     D                ttf.c:243  alloc_glyph_region               [   3.37899] Glyph 21: 14x17 (16x20)
font     D                ttf.c:287  alloc_glyph_region               [   3.37900] Locking glyph region: 0000000002d454f0 120 0 16 20
font     D                ttf.c:167  unlock_current_page              [   3.37901] Unlocking page: 0000000002d454f0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.38093] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.38095] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.38141] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.38142] _al_d3d_sync_bitmap (video) ref count == 1
acodec   I                ogg.c:204  _al_load_ogg_vorbis              [   3.39041] Loading sample ./assets/sound/BackgroundMusic.ogg.
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   3.39046] opening ./assets/sound/BackgroundMusic.ogg rb
acodec   D                ogg.c:263  _al_load_ogg_vorbis_f            [   3.39096] channels 2
acodec   D                ogg.c:264  _al_load_ogg_vorbis_f            [   3.39097] word_size 2
acodec   D                ogg.c:265  _al_load_ogg_vorbis_f            [   3.39098] rate 44100
acodec   D                ogg.c:266  _al_load_ogg_vorbis_f            [   3.39098] total_samples 7875072
acodec   D                ogg.c:267  _al_load_ogg_vorbis_f            [   3.39099] total_size 31500288
dtor     D               dtor.c:196  _al_register_destructor          [   3.62195] added dtor for sample 0000000002cfa3c0, func 00007ffa8f281a1d
dtor     D               dtor.c:196  _al_register_destructor          [   3.62203] added dtor for sample_instance 0000000002ccb960, func 00007ffa8f27929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   3.62205] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   3.62206]  0.707107 0.000000
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   3.62207]  0.000000 0.707107
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   3.72335] opening ./assets/image/monster/Wolf/RIGHT_2.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   3.72357] opening ./assets/image/monster/Wolf/RIGHT_2.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72500] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72503] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72505] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72506] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72506] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72507] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72508] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72509] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   3.72510] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   3.72511] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   3.72512] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   3.72513] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   3.72514] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   3.72549] added dtor for bitmap 000000000ce00090, func 00007ffa8f151bea
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   3.72699] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   3.72702] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:227  _al_unregister_destructor        [   3.95643] removed dtor for sample_instance 0000000002ccc140
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   4.07311] opening ./assets/image/monster/Wolf/RIGHT_3.png rb
stdio    D         file_stdio.c:110  file_stdio_fopen                 [   4.07339] opening ./assets/image/monster/Wolf/RIGHT_3.png rb
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07595] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07599] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07604] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07606] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07607] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   4.07607] Fake format
